18
801 1713
370 241 534
344 959 323
481 990 307
164 243 613
908 35 929
518 27 256
170 146 20
64 335 739
191 81 898
529 100 472
677 230 873
368 885 152
751 846 102
680 958 441
155 23 470
357 687 345
487 709 20
176 301 137
598 699 91
600 206 596
424 553 28
326 224 744
752 221 434
729 217 203
846 986 533
408 544 159
6 619 408
942 817 203
872 451 277
953 337 228
673 696 113
626 493 154
349 208 816
343 4 507
775 836 759
11 69 399
959 733 260
344 14 412
631 127 206
74 718 531
401 864 738
908 583 910
135 87 878
756 517 638
899 235 812
677 391 748
580 130 356
634 549 445
618 738 267
814 704 129
91 742 345
183 179 51
382 116 310
229 510 386
797 474 379
800 828 203
690 967 693
686 163 827
471 101 782
540 966 605
88 133 367
205 849 925
186 988 44
531 240 385
460 787 806
784 806 354
846 702 611
697 510 568
430 577 944
723 138 810
85 740 515
553 369 835
962 130 436
571 894 64
266 501 262
582 422 58
468 963 467
277 529 68
874 629 57
768 353 506
914 676 784
574 118 276
659 609 498
757 358 373
946 578 417
982 768 4
630 366 583
533 596 219
934 435 980
554 516 681
809 680 344
824 684 85
139 826 915
245 308 928
890 662 6
920 27 794
326 213 249
197 43 675
20 410 329
868 16 442
277 305 107
158 89 390
102 440 482
170 209 957
662 716 758
585 558 638
345 408 842
93 200 605
84 213 135
136 301 228
969 113 526
157 360 726
884 213 837
748 824 207
423 954 956
101 191 746
919 490 355
160 105 489
658 933 474
59 188 524
623 26 732
822 202 79
33 973 617
430 786 876
880 713 481
248 865 456
975 47 182
423 337 239
247 258 928
685 736 667
344 241 35
662 814 388
189 614 412
732 849 864
123 399 435
184 285 137
461 62 648
441 226 933
538 380 545
432 350 810
122 380 245
422 824 257
146 685 951
363 303 614
78 206 321
656 618 627
181 302 925
132 986 247
80 105 120
733 536 672
322 623 580
464 811 51
150 693 632
808 429 673
709 357 730
900 286 409
345 987 912
55 88 74
838 551 718
72 79 660
92 587 696
32 493 498
293 968 556
923 441 773
370 916 806
614 198 80
455 616 589
562 723 50
205 572 883
333 787 483
237 76 141
74 517 548
652 644 876
572 273 476
324 959 61
936 32 467
691 202 567
18 431 928
123 658 765
968 619 822
463 432 87
34 836 1
93 506 527
960 346 369
137 647 701
821 360 651
423 4 933
645 317 322
476 156 301
482 48 781
305 917 153
960 225 320
847 45 970
445 430 855
350 572 699
391 481 550
336 430 894
628 966 23
610 51 177
410 761 894
892 893 360
491 832 446
439 909 523
837 832 852
340 534 33
238 370 185
330 797 558
973 202 975
144 13 230
549 311 447
730 376 603
416 135 41
200 774 288
519 149 907
707 583 790
443 272 967
816 386 75
528 460 833
867 831 941
999 410 172
45 98 19
481 263 384
899 269 578
306 800 177
532 864 96
614 4 642
790 722 577
491 721 938
437 942 172
600 280 580
574 134 11
410 448 974
192 848 777
545 316 507
934 45 342
326 643 288
107 799 888
477 484 511
453 511 957
899 827 388
33 262 755
707 960 790
798 855 505
135 912 366
387 959 453
132 918 325
263 715 558
136 795 246
618 560 984
832 284 617
621 251 71
291 727 812
905 721 342
782 538 836
804 472 618
72 813 70
81 98 711
896 589 388
640 168 483
503 794 971
127 903 531
911 189 103
188 833 715
588 101 788
989 744 279
709 940 365
301 243 516
674 821 594
54 858 436
628 69 402
483 629 417
215 234 273
532 277 229
452 49 123
291 27 954
189 714 892
423 44 954
401 977 407
646 320 146
846 41 824
541 738 386
246 449 537
590 456 15
299 757 150
416 64 324
482 217 873
169 601 602
963 815 636
96 209 171
154 276 460
423 493 694
234 85 890
450 443 660
481 466 295
789 471 523
57 408 582
570 721 494
788 104 342
875 104 324
282 696 60
3 6 780
817 29 186
372 728 607
122 470 288
535 104 783
168 754 724
203 70 76
674 210 93
749 734 317
260 389 435
568 887 238
617 928 763
520 548 989
754 755 415
656 397 30
873 298 926
212 256 983
473 585 58
980 673 621
242 601 326
583 4 726
760 564 757
352 834 546
838 126 97
5 274 506
957 246 52
730 32 762
201 343 584
184 81 754
530 795 190
60 755 886
13 95 596
42 266 155
47 616 322
973 56 538
416 876 912
98 525 72
477 433 709
245 580 255
631 751 52
192 74 578
866 938 657
141 629 390
163 481 970
444 328 265
319 986 22
143 902 457
156 491 543
878 492 733
409 901 699
149 811 125
97 24 951
925 553 139
354 707 351
670 27 226
352 900 295
89 418 679
268 608 103
170 297 675
694 507 827
714 877 281
787 247 120
394 418 547
17 83 11
967 467 393
901 473 237
483 238 48
283 228 447
609 20 326
462 575 545
335 387 789
652 942 242
929 159 15
647 150 561
188 707 121
923 416 517
387 812 479
281 507 709
910 198 304
280 497 506
666 208 403
947 889 522
527 572 620
739 418 130
181 987 750
137 30 726
415 891 956
973 765 201
358 206 609
157 797 403
642 61 530
706 708 62
651 241 482
967 52 642
915 754 578
348 487 713
505 749 521
769 931 240
228 229 652
742 72 403
831 67 821
31 484 282
46 519 271
481 127 720
481 951 452
44 145 616
43 454 587
422 345 583
978 578 157
739 676 100
503 516 185
837 144 473
984 564 286
667 32 385
289 944 622
952 31 942
599 316 983
965 590 144
762 464 682
848 330 533
313 772 83
235 387 462
919 731 237
850 935 470
201 719 335
427 307 302
813 415 1
839 50 575
672 151 598
70 905 736
79 233 226
862 823 609
294 105 545
309 515 357
341 122 965
391 273 315
335 719 23
929 608 658
716 533 563
302 482 77
891 982 575
1 500 966
278 202 272
509 778 258
978 336 623
802 556 344
435 364 199
835 438 880
820 263 207
625 367 65
427 719 34
69 790 541
812 490 922
943 12 689
77 121 866
773 716 367
464 771 146
822 477 105
585 91 597
727 188 443
33 599 355
740 126 454
802 589 566
660 683 102
379 100 368
888 305 434
349 463 379
474 523 771
173 473 495
509 526 920
728 415 113
366 798 637
103 51 208
632 140 706
592 272 990
878 516 34
386 127 997
802 593 342
212 646 362
214 604 859
614 684 777
863 107 636
116 69 979
581 915 741
20 585 97
856 152 110
73 200 618
810 458 572
439 178 128
355 989 26
548 251 903
512 634 386
817 382 986
791 127 512
50 573 71
965 334 350
615 235 478
464 84 483
392 353 765
74 728 130
584 702 386
697 352 420
802 32 550
831 898 143
281 401 750
84 708 404
74 197 144
829 555 804
199 846 236
361 889 828
821 223 127
469 697 971
750 666 947
129 264 718
493 416 262
108 932 394
190 297 600
185 562 416
495 878 73
190 756 435
137 594 813
975 826 497
14 469 701
616 219 578
438 599 810
943 1759
929 863 641
169 356 426
239 576 421
508 27 16
528 813 447
335 343 559
213 378 934
398 516 122
428 601 813
731 850 340
151 401 889
871 780 261
179 76 589
329 722 204
875 11 482
149 570 51
133 417 885
15 214 837
194 691 897
632 114 403
279 41 868
939 338 809
72 31 742
658 413 977
921 540 852
777 610 209
352 921 662
37 628 797
305 508 912
188 36 368
665 827 380
72 271 459
835 793 694
314 219 687
826 883 265
409 644 792
871 105 383
103 822 341
316 568 904
173 198 855
772 702 943
267 143 776
78 574 921
182 864 919
619 461 38
757 643 146
265 605 37
260 295 63
635 729 678
444 783 278
821 76 474
895 555 222
800 403 288
337 593 22
658 9 160
79 612 132
109 33 518
468 644 409
732 935 787
329 827 121
42 44 811
651 640 189
176 429 999
800 536 59
160 274 251
317 748 856
751 720 111
409 701 852
785 356 137
93 464 578
263 161 776
895 922 470
14 264 701
771 279 407
665 345 252
902 880 866
906 689 671
170 59 89
363 727 956
442 638 904
592 130 477
215 542 800
213 629 632
3 891 928
563 707 171
40 192 562
457 594 976
478 297 868
841 660 875
653 570 129
183 734 672
885 532 471
1 624 731
572 669 873
811 391 28
207 663 121
493 144 952
195 649 794
211 287 569
284 377 97
521 788 692
99 886 547
593 209 701
789 408 406
481 817 367
163 756 128
544 523 954
446 82 304
407 243 187
547 397 102
170 3 822
271 384 899
734 491 795
852 139 905
380 309 750
282 192 136
121 311 535
753 777 486
29 315 18
596 476 47
792 294 806
85 639 593
9 893 944
70 106 836
532 703 611
69 136 18
247 304 419
388 174 591
931 562 911
765 510 852
744 214 729
266 866 757
391 157 43
683 500 445
433 714 561
825 923 789
828 831 738
411 401 315
645 933 928
173 866 22
687 37 570
80 458 733
369 230 390
396 333 398
736 861 564
213 875 234
617 419 823
666 652 198
636 641 487
223 564 26
501 830 778
628 771 86
334 307 454
487 199 942
870 766 901
263 444 352
761 2 180
72 892 544
672 385 79
813 686 302
206 520 874
542 214 345
41 152 533
799 542 668
930 627 856
920 88 990
623 927 23
256 223 462
936 7 857
767 565 722
467 214 380
107 75 975
507 409 84
508 684 479
532 789 455
33 758 484
751 295 78
564 395 63
9 563 859
123 27 84
630 567 256
498 829 644
469 197 739
625 225 275
740 227 529
864 586 812
220 148 576
376 184 600
753 388 928
705 763 921
467 538 883
44 481 163
26 546 848
107 474 914
819 27 510
114 934 923
917 410 31
32 568 935
931 114 971
303 845 455
13 202 849
815 309 59
60 450 948
250 24 749
607 211 50
757 489 439
754 26 49
7 488 477
32 171 844
661 361 488
228 199 601
14 757 841
478 501 830
511 393 343
26 215 12
595 493 554
119 205 880
564 255 129
592 647 382
826 93 528
329 139 719
393 450 639
885 815 50
768 486 490
847 498 429
555 16 257
34 264 856
784 52 841
743 10 99
813 466 438
783 596 824
177 244 657
366 89 749
671 200 936
738 163 732
927 182 724
222 705 594
886 640 35
117 637 543
916 178 1000
384 317 383
552 464 669
242 627 955
792 911 273
784 619 640
486 155 724
845 84 513
653 595 76
404 226 90
374 444 590
727 480 188
288 670 946
211 595 847
497 309 701
600 5 771
860 61 176
283 398 730
758 392 956
663 925 155
449 98 721
740 228 556
375 788 809
149 912 562
900 104 516
801 840 807
245 817 358
297 321 539
862 929 746
355 524 947
588 807 56
532 368 180
357 281 343
4 289 464
563 408 458
649 810 637
813 842 754
936 886 146
524 54 951
158 820 831
877 259 714
524 680 154
191 606 175
43 352 324
943 763 269
125 435 217
350 52 607
835 754 691
766 636 613
689 596 459
124 107 789
372 776 40
451 141 595
580 893 531
456 522 251
903 721 651
778 401 355
601 437 934
106 743 168
300 207 130
464 660 136
261 272 660
681 4 161
941 432 637
929 374 22
707 112 335
853 743 889
46 507 965
822 686 466
96 224 278
304 500 416
362 872 943
902 294 616
42 678 677
711 901 340
371 374 748
152 301 730
377 678 799
607 213 918
242 406 276
459 859 358
846 450 914
186 667 421
790 324 225
312 446 807
493 572 691
919 83 277
337 803 737
522 160 700
817 525 546
375 551 72
665 83 640
910 164 782
313 30 866
549 445 428
565 163 562
696 340 268
244 116 973
574 563 609
38 195 224
324 289 891
722 62 669
415 277 179
639 884 273
147 109 390
678 154 109
573 528 318
444 177 605
818 208 34
657 778 722
726 934 268
375 476 389
518 237 821
667 33 893
353 311 768
349 539 705
687 595 934
471 789 24
858 256 648
242 467 456
708 219 7
372 527 522
703 841 776
659 562 6
294 806 944
876 132 757
50 831 167
263 882 101
489 281 127
817 120 527
809 584 277
439 569 469
935 860 523
682 657 918
513 885 625
44 411 846
920 629 166
281 888 314
72 872 665
111 286 998
545 182 691
853 841 235
784 125 550
554 619 909
253 258 900
213 929 691
772 244 306
551 263 270
210 757 843
250 655 598
671 649 14
369 473 367
257 554 207
820 642 686
693 720 806
922 788 550
594 711 916
622 257 778
72 831 679
239 357 383
288 427 260
828 45 999
251 10 902
788 621 210
716 598 792
593 323 575
626 772 385
703 527 345
905 653 234
181 104 306
513 202 47
683 830 690
483 546 336
589 363 148
156 11 394
129 895 635
247 796 911
786 247 446
361 259 747
205 698 998
472 132 500
100 189 116
480 336 986
593 392 111
578 778 776
457 79 366
872 736 940
493 616 387
560 842 254
449 47 591
804 504 445
252 479 767
533 641 1
717 368 565
929 352 324
306 29 807
56 907 44
477 109 35
357 50 423
591 394 938
392 390 7
706 586 781
655 672 56
4 46 338
375 154 20
359 603 316
679 464 28
718 207 507
684 931 673
930 40 296
878 547 325
223 667 977
442 95 27
524 628 303
771 356 395
338 214 487
876 888 748
66 243 1000
618 423 320
31 434 632
48 128 345
583 336 319
538 722 862
783 237 471
107 584 37
638 506 708
903 468 183
913 249 556
778 381 401
746 818 657
249 250 672
595 494 346
268 648 920
896 86 455
633 22 35
805 520 560
126 767 852
712 299 394
741 479 320
134 412 575
863 906 983
89 878 432
938 320 525
365 940 889
880 199 828
11 259 800
148 608 829
241 95 433
326 715 57
29 59 772
338 832 257
868 604 692
594 849 435
826 480 849
810 292 637
240 743 141
920 401 658
735 658 694
210 69 534
635 844 615
753 908 844
84 574 422
328 223 412
9 869 173
82 200 513
670 723 272
685 60 933
840 321 582
677 355 471
609 63 168
234 771 838
909 864 279
832 807 342
795 8 879
183 226 570
903 94 704
850 806 73
837 578 848
30 657 825
885 738 399
743 430 612
796 175 439
287 457 908
214 676 597
847 565 786
924 395 781
576 632 502
301 744 40
686 188 638
716 923 398
791 600 249
777 669 630
643 619 563
50 928 699
220 22 617
242 418 444
180 234 755
754 71 48
348 172 896
337 928 919
318 605 551
794 32 728
219 606 267
582 225 915
786 762 936
264 409 696
291 281 682
942 854 245
877 802 225
460 845 507
200 157 505
63 720 251
138 139 298
550 433 263
184 815 946
752 104 924
5 636 492
647 874 259
935 635 134
865 286 657
909 546 79
734 850 871
921 268 360
890 421 59
779 92 276
243 494 710
52 895 961
777 720 336
759 408 117
692 922 613
675 201 380
530 723 552
842 674 400
183 460 319
128 16 851
124 387 139
845 171 333
759 403 188
280 731 700
742 627 323
531 352 249
477 369 542
868 523 155
750 615 275
694 228 459
458 613 47
494 407 214
392 592 577
68 675 722
739 94 960
559 649 430
302 677 332
111 681 979
67 852 793
515 838 264
836 288 848
641 380 690
138 75 775
174 704 50
619 815 127
676 363 70
387 888 469
671 171 169
274 89 493
163 4 600
187 493 642
92 739 358
696 758 778
526 196 702
793 11 245
670 312 789
840 398 23
605 738 404
30 905 793
375 83 288
786 241 165
919 48 699
851 111 471
937 875 678
403 834 458
27 398 770
746 917 689
556 366 891
493 699 859
215 33 877
665 112 710
140 380 274
154 544 276
148 167 889
635 663 404
316 363 360
873 779 554
812 786 495
597 745 353
604 839 469
90 855 619
148 2 933
700 753 574
694 213 893
774 31 12
904 571 828
624 763 606
270 584 419
468 482 29
331 854 698
847 661 877
327 65 129
875 561 96
152 466 409
188 103 533
764 502 912
730 47 703
438 587 243
410 611 930
144 347 352
571 602 290
557 295 226
933 638 729
497 188 29
52 761 912
510 621 916
87 606 386
377 486 264
375 935 74
70 238 993
384 797 268
87 634 601
104 352 946
108 353 280
573 95 108
913 670 755
536 644 589
207 793 935
26 306 896
33 453 716
201 34 976
494 838 676
580 76 991
613 521 309
735 626 354
919 180 888
820 918 127
24 490 784
568 208 7
750 237 241
627 613 486
101 838 429
791 805 115
419 689 797
717 247 734
472 871 440
925 294 548
785 820 697
454 817 623
702 279 436
295 644 85
910 844 932
695 206 642
857 277 27
938 37 175
35 622 695
741 648 519
260 795 52
60 646 760
438 654 586
249 590 489
429 940 83
148 460 799
461 940 404
898 936 241
88 13 341
306 680 189
82 904 757
466 334 622
904 529 939
372 935 224
838 885 767
250 769 92
655 691 475
24 144 339
444 864 449
691 110 719
470 706 869
179 471 857
244 225 519
31 455 298
754 697 838
212 96 653
695 763 941
901 47 859
932 397 9
224 287 368
371 345 85
41 486 778
786 364 701
39 142 888
598 418 870
222 603 387
538 599 402
545 202 634
660 438 242
301 55 707
875 87 111
586 212 125
108 385 90
503 710 289
521 61 335
81 222 314
116 164 923
422 577 151
395 509 696
373 385 889
904 844 154
121 1 313
445 782 610
109 189 952
791 104 307
34 672 668
173 187 7
613 774 90
242 783 872
242 272 441
365 214 618
644 376 987
438 433 509
267 894 471
40 236 274
172 391 602
670 342 586
332 706 306
885 383 638
847 522 897
51 191 27
347 14 854
5 407 938
941 314 702
759 807 151
44 555 685
745 137 384
639 296 251
446 11 854
73 837 10
196 747 232
189 555 110
566 881 641
677 789 975
667 252 369
571 439 705
870 205 453
709 16 585
236 449 346
240 543 703
105 447 574
622 513 691
460 761 690
898 882 858
199 628 656
189 625 469
393 150 287
158 277 119
282 184 82
72 794 491
828 692 212
13 41 650
648 487 543
730 5 770
805 173 86
156 285 182
742 875 900
777 544 25
44 490 11
660 1 872
86 569 580
208 757 33
135 277 199
697 716 33
701 160 940
792 388 570
467 521 576
404 353 927
733 182 369
60 166 105
9 665 318
704 902 67
259 85 361
333 115 333
313 312 398
753 495 771
388 430 680
99 694 189
105 38 135
769 201 512
368 491 413
774 408 615
573 134 534
217 108 347
468 271 354
621 471 528
693 345 686
916 258 516
847 876 78
120 401 586
60 75 87
853 683 962
917 152 681
710 80 730
727 449 262
909 601 386
877 241 506
650 178 818
244 201 884
558 207 201
620 718 368
702 902 427
171 728 898
91 464 545
225 705 185
256 174 155
145 701 326
352 465 957
604 103 24
424 77 503
498 183 975
543 159 599
896 914 989
609 781 159
516 776 132
199 874 291
900 211 40
228 876 891
697 11 6
226 159 252
924 573 970
871 327 744
762 579 543
430 26 526
670 872 295
180 383 148
511 276 131
350 474 367
487 805 425
735 581 58
473 774 137
33 352 904
133 232 202
860 111 768
360 327 53
9 863 771
881 871 781
76 434 585
154 917 265
568 451 76
78 331 201
268 634 359
800 20 700
442 898 121
56 465 856
652 469 620
870 226 139
543 880 217
289 835 811
245 157 986
611 248 830
555 579 349
427 873 186
336 108 339
873 777 223
134 179 637
871 722 276
753 607 306
193 669 477
774 520 814
894 850 598
261 32 806
683 771 647
371 368 83
375 672 630
745 801 167
71 408 525
574 755 384
572 632 11
229 573 436
349 870 786
314 244 473
485 800 449
13 695 319
483 381 550
528 882 621
443 667 984
489 334 107
659 72 845
887 688 751
391 608 19
234 817 192
874 756 981
528 847 669
233 457 559
637 618 211
161 372 636
75 491 424
372 104 602
488 633 96
556 158 332
400 360 975
535 212 569
240 660 941
557 352 875
477 815 398
477 617 318
144 925 558
774 37 963
836 679 866
415 690 879
548 126 593
167 803 489
847 814 169
294 766 609
146 892 196
555 8 109
829 512 12
360 585 897
840 22 215
331 544 600
737 522 599
698 304 550
401 429 95
326 932 123
335 347 105
744 613 54
475 789 715
615 898 43
804 611 769
739 44 672
283 636 903
719 500 50
288 480 76
96 759 327
138 820 834
495 213 84
18 373 399
62 361 720
609 758 797
427 388 478
419 506 563
471 747 981
339 492 491
270 745 873
322 470 744
73 172 170
792 644 662
932 934 157
512 714 553
817 68 37
894 482 879
386 198 898
138 762 580
806 663 817
37 295 31
712 555 893
572 479 423
839 124 986
702 161 752
407 644 649
632 878 565
488 328 899
430 632 844
869 211 658
450 662 101
318 676 756
716 808 924
339 197 669
700 636 747
233 487 819
792 428 5
925 623 186
265 24 409
475 195 648
597 510 95
125 276 406
555 779 782
304 122 427
594 582 143
602 869 929
842 655 94
747 745 565
406 635 901
96 416 220
806 265 910
552 247 597
761 846 710
68 98 785
580 180 46
411 733 955
694 704 214
217 478 489
288 827 128
609 155 646
538 167 718
278 349 554
876 686 731
510 266 948
255 772 256
465 933 776
461 308 201
718 810 495
872 143 539
509 937 278
891 879 964
99 71 723
67 447 413
141 88 394
857 690 878
795 698 708
396 558 874
566 889 379
454 456 729
824 415 436
256 611 914
328 612 341
325 49 846
757 843 40
378 540 483
48 750 93
5 390 221
536 277 16
372 100 881
38 255 578
928 655 283
69 208 549
582 324 437
564 107 771
890 523 136
814 813 981
879 567 305
438 850 740
683 751 648
530 837 334
190 180 871
643 355 157
613 657 19
359 736 494
644 837 71
939 685 495
865 611 447
440 80 969
851 796 216
924 72 825
46 369 438
909 603 266
235 692 923
765 119 566
588 182 509
794 668 195
51 844 316
444 219 145
141 926 867
856 796 339
381 870 69
722 433 924
465 817 990
36 151 620
170 26 750
64 231 502
253 287 685
751 693 310
179 4 58
858 755 948
942 802 433
651 477 130
184 671 465
236 8 853
768 355 254
153 382 901
311 920 450
397 499 815
652 419 375
426 699 524
896 894 447
653 728 667
737 214 464
665 744 187
134 191 347
848 515 321
555 650 448
104 914 783
91 269 823
203 154 842
811 778 672
179 798 574
507 754 845
565 774 718
488 600 226
117 517 925
792 752 201
839 714 34
894 860 861
454 493 896
629 490 136
639 412 929
561 621 372
503 671 414
826 467 525
922 321 453
437 812 309
413 594 401
874 508 480
302 12 109
741 846 439
714 78 655
629 580 998
16 238 546
134 88 104
309 631 393
473 565 727
397 916 614
499 707 451
222 621 422
721 381 770
123 850 847
422 393 611
3 706 666
375 393 732
8 244 327
577 49 386
609 49 825
672 818 287
816 354 968
22 16 987
638 529 91
689 57 697
198 24 297
309 142 503
663 566 769
223 190 357
569 661 933
684 28 641
460 595 84
648 240 648
831 828 269
648 335 20
112 134 168
131 756 520
346 715 495
771 442 162
125 643 943
35 402 789
475 8 44
444 800 440
498 223 15
110 740 853
691 320 807
632 57 404
395 697 913
769 771 590
204 799 386
697 372 83
624 163 632
589 833 388
165 707 899
284 95 311
743 597 836
797 614 449
146 418 268
338 7 150
409 861 270
515 571 223
794 508 890
296 73 258
443 40 411
523 565 92
882 885 932
729 387 131
861 888 508
875 330 4
885 808 99
388 83 189
411 305 729
589 745 48
277 174 118
245 233 434
193 862 975
66 19 626
95 658 981
859 817 605
915 152 819
373 282 862
322 198 568
423 478 495
725 462 83
86 503 587
698 667 626
851 556 668
673 128 212
859 928 925
108 286 979
719 802 762
717 836 277
433 766 830
107 776 811
42 669 56
925 90 125
235 24 974
342 273 609
811 35 75
290 228 294
900 301 100
590 491 482
28 212 592
661 360 283
783 11 379
54 273 87
292 597 594
87 870 441
577 817 50
540 65 370
484 475 127
918 924 265
674 21 121
207 656 898
789 851 627
931 335 389
818 810 949
818 610 554
410 158 255
369 178 365
518 24 33
717 699 665
802 571 229
110 262 107
671 387 120
677 903 331
454 13 546
340 642 423
739 347 272
707 442 46
95 934 337
528 688 355
712 112 113
452 749 50
612 318 975
25 763 668
878 448 259
918 820 909
227 161 291
709 121 835
144 661 430
185 666 545
273 362 864
425 780 153
905 296 36
757 546 182
60 544 348
929 647 363
508 621 431
121 755 406
149 648 393
175 809 616
706 655 224
648 357 273
287 181 149
342 688 182
629 160 146
912 43 327
418 515 758
344 27 331
437 605 162
214 742 825
470 271 458
842 560 804
372 95 610
759 160 460
182 604 519
384 875 39
327 610 304
228 348 307
129 40 101
421 346 403
807 711 258
254 113 784
823 876 665
475 701 995
652 315 828
786 772 893
388 72 585
334 824 704
620 873 30
606 393 924
141 474 976
695 267 846
56 275 243
636 830 391
440 8 675
541 60 5
245 928 748
142 750 804
494 641 182
930 301 165
812 461 280
711 662 979
479 812 675
491 66 72
98 169 530
651 230 750
298 921 13
722 727 50
838 181 991
83 248 412
915 874 305
88 389 870
740 14 367
731 501 441
773 674 51
284 419 166
796 201 572
527 444 670
353 204 109
843 114 802
795 17 181
934 444 875
561 658 898
333 513 347
853 336 93
312 291 658
450 367 76
921 11 593
777 594 105
77 381 726
247 669 714
927 585 413
674 496 589
942 475 543
802 227 829
316 575 754
432 205 930
606 184 36
553 1 286
713 689 473
6 296 83
546 154 524
934 57 335
156 72 906
173 635 134
572 36 269
394 722 929
346 685 429
923 779 95
53 813 805
398 846 669
39 214 29
618 941 980
145 280 17
568 79 104
702 855 743
641 669 375
384 768 734
815 279 719
366 86 553
356 50 343
312 232 48
76 618 432
460 60 547
315 23 18
922 31 563
708 134 591
312 598 516
670 765 486
544 594 258
394 146 550
943 215 845
184 732 200
736 517 202
3 229 902
693 821 334
194 778 429
801 195 194
903 724 52
88 74 400
201 664 971
898 706 982
447 114 223
376 447 462
930 869 998
75 191 767
781 23 21
653 568 282
541 634 332
576 262 888
271 876 171
625 655 541
225 60 153
928 71 282
641 711 939
139 462 216
484 438 957
883 462 339
848 724 639
519 539 679
594 819 568
636 757 84
447 725 380
753 592 464
309 569 523
631 541 359
759 319 688
322 515 824
453 661 74
637 166 655
390 243 434
703 676 843
559 542 1000
737 933 548
166 796 882
922 108 597
588 705 667
204 743 527
360 715 801
126 11 338
617 651 771
785 867 809
878 854 230
835 152 996
760 213 558
575 53 476
433 848 313
433 432 704
37 242 153
436 716 229
530 214 414
732 788 583
824 816 904
803 205 728
396 509 133
705 98 769
736 321 84
597 179 949
801 356 51
851 771 767
6 37 456
931 637 143
442 477 85
301 910 531
937 350 91
259 937 93
265 615 205
390 506 997
752 690 964
67 486 723
544 93 615
666 331 909
591 365 154
512 812 499
205 712 58
681 686 717
148 552 899
816 527 379
598 838 783
287 201 71
48 936 864
665 364 744
795 924 836
119 475 401
283 871 801
86 936 827
761 46 289
185 344 673
121 745 81
337 874 406
225 430 217
160 6 61
156 855 189
235 157 520
813 913 214
43 21 897
342 651 989
730 897 114
561 937 786
681 866 225
224 699 831
465 392 892
258 602 697
99 834 307
400 622 705
280 428 384
68 750 936
279 674 707
56 524 271
81 716 449
617 821 267
926 650 462
407 259 167
141 472 327
888 92 925
225 723 954
565 215 461
593 448 989
488 66 846
13 573 186
565 646 146
558 549 99
670 855 43
581 902 758
276 689 8
539 634 526
667 46 91
741 458 606
838 705 761
237 296 639
418 211 892
713 864 636
427 767 598
901 863 877
440 623 783
721 46 310
388 658 148
790 499 56
109 309 519
468 696 583
184 337 67
214 667 895
912 564 118
837 939 26
332 763 705
50 770 933
221 121 163
496 447 326
428 2 174
446 828 624
541 98 295
381 614 303
401 642 532
717 33 903
690 597 833
617 616 557
80 40 202
130 373 145
521 691 719
538 155 127
461 523 293
87 491 876
609 477 393
887 933 773
130 644 592
212 747 717
525 635 834
283 231 505
716 333 503
271 104 631
217 530 253
477 212 193
508 781 114
110 639 555
749 269 404
625 111 761
741 919 270
75 726 611
185 348 855
587 299 171
650 570 227
621 594 744
454 179 609
930 671 304
636 173 485
586 79 892
701 737 671
524 915 462
372 450 452
365 251 524
452 195 744
925 516 430
917 248 30
522 771 90
294 409 135
42 462 344
228 489 698
761 469 414
764 405 295
830 475 620
200 337 411
839 540 105
114 268 819
71 595 700
586 52 535
797 157 662
512 162 771
892 692 792
377 482 925
363 825 271
573 68 628
143 935 333
259 507 568
805 437 201
560 413 876
934 759 392
35 58 758
171 264 803
41 625 398
188 558 917
267 227 410
347 746 682
573 187 901
249 240 82
416 494 629
489 765 403
185 340 826
409 528 880
875 1 23
598 121 773
409 809 396
170 6 156
159 57 810
871 368 103
938 897 399
577 182 784
873 416 616
481 359 156
906 84 93
503 756 57
744 382 885
72 251 478
240 610 263
378 535 394
155 550 220
873 765 498
908 493 670
774 533 587
178 166 726
638 600 646
616 493 262
212 821 713
238 791 499
319 113 825
222 323 678
349 244 243
176 125 572
838 850 58
666 132 629
742 333 52
699 907 688
884 342 551
578 850 704
90 142 982
800 121 853
182 834 269
903 48 884
418 907 712
324 566 912
425 554 112
50 496 978
653 560 867
703 924 327
342 687 152
301 229 132
600 609 546
109 942 128
136 169 447
432 233 270
332 745 130
932 847 255
284 883 588
238 417 802
43 877 175
688 369 263
345 743 631
528 100 770
659 591 425
154 371 344
496 72 418
441 381 742
579 37 502
191 279 366
771 436 303
545 227 144
480 595 230
136 943 879
464 635 125
170 110 485
364 237 894
8 651 678
906 755 4
765 878 775
386 835 397
439 790 190
693 281 759
844 247 677
862 95 472
20 772 472
65 56 876
158 237 954
751 106 291
410 780 661
684 516 579
193 681 550
810 894 164
916 886 96
283 119 162
845 621 298
251 565 123
223 253 709
294 815 869
783 2 763
167 12 210
659 157 331
136 605 82
754 276 682
450 894 469
103 873 712
736 865 933
800 17 497
687 331 226
718 644 468
486 721 24
707 460 885
305 618 149
436 706 196
335 687 975
290 712 428
870 773 238
749 756 187
539 160 30
33 849 436
899 1866
890 543 362
45 21 891
847 168 428
604 375 84
413 165 44
536 612 336
86 741 398
895 809 816
20 864 461
840 552 415
890 317 77
688 217 229
517 804 33
19 796 65
425 332 519
686 508 620
190 195 207
62 198 869
809 856 785
820 51 548
86 560 910
236 745 615
798 684 877
90 513 721
833 505 591
290 557 243
323 827 4
59 68 69
451 453 286
886 713 730
850 504 881
31 4 265
85 13 502
55 786 360
771 766 444
703 288 250
54 507 188
487 86 875
817 789 373
863 853 587
682 130 824
228 726 159
482 401 619
762 170 687
313 395 514
438 436 795
